yield;variety;year;site
27.0000000;Manchuria;1931;University Farm
48.8666700;Manchuria;1931;Waseca
27.4333400;Manchuria;1931;Morris
39.9333300;Manchuria;1931;Crookston
32.9666700;Manchuria;1931;Grand Rapids
28.9666700;Manchuria;1931;Duluth
43.0666600;Glabron;1931;University Farm
55.2000000;Glabron;1931;Waseca
28.7666700;Glabron;1931;Morris
38.1333300;Glabron;1931;Crookston
29.1333300;Glabron;1931;Grand Rapids
29.6666700;Glabron;1931;Duluth
35.1333300;Svansota;1931;University Farm
47.3333300;Svansota;1931;Waseca
25.7666700;Svansota;1931;Morris
40.4666700;Svansota;1931;Crookston
29.6666700;Svansota;1931;Grand Rapids
25.7000000;Svansota;1931;Duluth
39.9000000;Velvet;1931;University Farm
50.2333300;Velvet;1931;Waseca
26.1333300;Velvet;1931;Morris
41.3333300;Velvet;1931;Crookston
23.0333300;Velvet;1931;Grand Rapids
26.3000000;Velvet;1931;Duluth
36.5666600;Trebi;1931;University Farm
63.8333000;Trebi;1931;Waseca
43.7666700;Trebi;1931;Morris
46.9333300;Trebi;1931;Crookston
29.7666700;Trebi;1931;Grand Rapids
33.9333300;Trebi;1931;Duluth
43.2666700;No. 457;1931;University Farm
58.1000000;No. 457;1931;Waseca
28.7000000;No. 457;1931;Morris
45.6666700;No. 457;1931;Crookston
32.1666700;No. 457;1931;Grand Rapids
33.6000000;No. 457;1931;Duluth
36.6000000;No. 462;1931;University Farm
65.7667000;No. 462;1931;Waseca
30.3666700;No. 462;1931;Morris
48.5666600;No. 462;1931;Crookston
24.9333400;No. 462;1931;Grand Rapids
28.1000000;No. 462;1931;Duluth
32.7666700;Peatland;1931;University Farm
48.5666600;Peatland;1931;Waseca
29.8666700;Peatland;1931;Morris
41.6000000;Peatland;1931;Crookston
34.7000000;Peatland;1931;Grand Rapids
32.0000000;Peatland;1931;Duluth
24.6666700;No. 475;1931;University Farm
46.7666700;No. 475;1931;Waseca
22.6000000;No. 475;1931;Morris
44.1000000;No. 475;1931;Crookston
19.7000000;No. 475;1931;Grand Rapids
33.0666600;No. 475;1931;Duluth
39.3000000;Wisconsin No. 38;1931;University Farm
58.8000000;Wisconsin No. 38;1931;Waseca
29.4666700;Wisconsin No. 38;1931;Morris
49.8666700;Wisconsin No. 38;1931;Crookston
34.4666700;Wisconsin No. 38;1931;Grand Rapids
31.6000000;Wisconsin No. 38;1931;Duluth
26.9000000;Manchuria;1932;University Farm
33.4666700;Manchuria;1932;Waseca
34.3666600;Manchuria;1932;Morris
32.9666700;Manchuria;1932;Crookston
22.1333300;Manchuria;1932;Grand Rapids
22.5666700;Manchuria;1932;Duluth
36.8000000;Glabron;1932;University Farm
37.7333300;Glabron;1932;Waseca
35.1333300;Glabron;1932;Morris
26.1666700;Glabron;1932;Crookston
14.4333300;Glabron;1932;Grand Rapids
25.8666700;Glabron;1932;Duluth
27.4333400;Svansota;1932;University Farm
38.5000000;Svansota;1932;Waseca
35.0333300;Svansota;1932;Morris
20.6333300;Svansota;1932;Crookston
16.6333300;Svansota;1932;Grand Rapids
22.2333300;Svansota;1932;Duluth
26.8000000;Velvet;1932;University Farm
37.4000000;Velvet;1932;Waseca
38.8333300;Velvet;1932;Morris
32.0666600;Velvet;1932;Crookston
32.2333300;Velvet;1932;Grand Rapids
22.4666700;Velvet;1932;Duluth
29.0666700;Trebi;1932;University Farm
49.2333000;Trebi;1932;Waseca
46.6333300;Trebi;1932;Morris
41.8333300;Trebi;1932;Crookston
20.6333300;Trebi;1932;Grand Rapids
30.6000000;Trebi;1932;Duluth
26.4333400;No. 457;1932;University Farm
42.2000000;No. 457;1932;Waseca
43.5333400;No. 457;1932;Morris
34.3333300;No. 457;1932;Crookston
19.4666700;No. 457;1932;Grand Rapids
22.7000000;No. 457;1932;Duluth
25.5666700;No. 462;1932;University Farm
44.7000000;No. 462;1932;Waseca
47.0000000;No. 462;1932;Morris
30.5333300;No. 462;1932;Crookston
19.9000000;No. 462;1932;Grand Rapids
22.5000000;No. 462;1932;Duluth
28.0666700;Peatland;1932;University Farm
36.0333300;Peatland;1932;Waseca
43.2000000;Peatland;1932;Morris
25.2333300;Peatland;1932;Crookston
26.7666700;Peatland;1932;Grand Rapids
31.3666700;Peatland;1932;Duluth
30.0000000;No. 475;1932;University Farm
41.2666700;No. 475;1932;Waseca
44.2333300;No. 475;1932;Morris
32.1333300;No. 475;1932;Crookston
15.2333300;No. 475;1932;Grand Rapids
27.3666700;No. 475;1932;Duluth
38.0000000;Wisconsin No. 38;1932;University Farm
58.1666700;Wisconsin No. 38;1932;Waseca
47.1666700;Wisconsin No. 38;1932;Morris
35.9000000;Wisconsin No. 38;1932;Crookston
20.6666700;Wisconsin No. 38;1932;Grand Rapids
29.3333300;Wisconsin No. 38;1932;Duluth
